"Why do we need distributed systems?","We need them mainly for scaling, location, and fault-tolerance. They add complexity so they should be used when needed.";
"Scaling","Increasing system capacity either vertically with a stronger machine or horizontally with more machines.";
"Vertical scaling","Scale up by using a stronger machine such as more memory or a faster CPU.";
"Horizontal scaling","Scale out by using more machines. It improves availability and fault-tolerance but adds complexity.";
"Amdahl's Law","Total speedup is limited by the part of work that cannot be parallelized.";
"Moore's Law","The number of transistors on a chip roughly doubles about every two years, historically increasing computing power over time.";
"Nielsen's Law","A high-end user's connection speed grows by about 50 percent per year.";
"Kryder's Law","Disk density doubles about every 13 months.";
"Wirth's Law","Software can get slower faster than hardware gets faster, because added complexity consumes hardware improvements.";
"Location in distributed systems","Systems can be placed closer to users to reduce latency or satisfy legal data-location requirements.";
"Latency","Round-trip time for a signal to travel from source to destination and back.";
"Traceroute","Shows network hops by sending packets with increasing TTL values.";
"Ping","Shows total round-trip time to a host, but not the path packets take.";
"TTL","Time To Live is decreased by each router. When it reaches zero, the router drops the packet and can send an ICMP Time Exceeded message.";
"ICMP Time Exceeded","Message sent when a packet's TTL reaches zero. Traceroute uses this to discover intermediate routers.";
"CDN","Content Delivery Network. Places content closer to users to reduce latency.";
"Speed of light latency limit","Network latency has a physical lower bound because signals cannot travel faster than light.";
"Single-mode fiber","Fiber with one main light path. It has less delay spread and usually lower latency than multimode fiber.";
"Multimode fiber","Fiber with many light paths. Some paths are longer, causing more delay spread.";
"Chromatic dispersion","Different wavelengths of light travel at slightly different speeds in glass, which can affect latency.";
"Hollow-core fiber","Fiber that guides light mostly through air, allowing signals to travel closer to vacuum speed.";
"Fault-tolerance","Preparing for failures so the system can continue despite individual hardware or network failures.";
"Redundancy","Using multiple machines or replicas so another component can take over after a failure.";
"ECC memory","Error-correcting memory that can correct one bit flip and detect two bit flips.";
"Bitsquat domains","Domains registered to catch traffic caused by bit flips in memory, for example a changed character in a DNS name.";
"Hamming Code","Error-correcting code that can correct one bit flip and detect two bit flips.";
"NAND flash cell types","SLC stores 1 bit per cell, MLC 2 bits, TLC 3 bits, and QLC 4 bits.";
"NAND endurance tradeoff","More bits per NAND cell make storage cheaper and denser, but usually lower endurance and slower writes.";
"Wear leveling","Technique that spreads writes and erases across flash memory cells so they wear out more evenly.";
"What is the difference of VM / Container?","A VM runs like a real computer with its own guest OS on a hypervisor. A container is an isolated user-space instance that shares the host OS/kernel.";
"How does docker work (container implementation)?","Docker packages software into containers. Containers are isolated with Linux mechanisms like network namespaces, cgroups, OverlayFS, seccomp profiles, and Linux capabilities.";
"What is docker-compose and how to run multiple services","Docker Compose runs multiple containers together. Services are defined in docker-compose.yml and started as one application setup.";
"Hypervisor","Software that runs virtual machines. Type 1 runs on bare metal and Type 2 runs hosted on an operating system.";
"OverlayFS","Docker can use layered filesystems where image layers are shared and container changes are written to an upper layer.";
"Docker layer cache","Docker can reuse an image layer if its input did not change, making repeated builds faster.";
"OverlayFS lowerdir","Read-only base layer in OverlayFS, usually corresponding to Docker image layers.";
"OverlayFS upperdir","Writable layer in OverlayFS where new or changed container files are stored.";
"OverlayFS workdir","Temporary working directory used internally by OverlayFS for file operations.";
"Cgroups","Linux control groups limit and account resource usage such as CPU, memory, and I/O.";
"Docker networking","Containers can use separate networks and communicate through configured container networks.";
"Network namespace","Linux isolation mechanism that gives a process or container its own network environment.";
"veth","Virtual Ethernet device. It works like a virtual network cable between namespaces.";
"NAT","Network Address Translation lets multiple devices share one public IP, but can make direct inbound connections harder.";
"Hole punching","Technique where peers behind NAT coordinate packets to create mappings and enable direct communication.";
"Docker security best practices","Keep images small and updated, scan vulnerabilities, avoid exposing the Docker daemon socket, avoid root, limit capabilities, and use read-only filesystems where possible.";
"What is a monorepo what is a polyrepo?","A monorepo stores multiple project parts in one repository. A polyrepo splits a project across multiple repositories.";
"When to use which type?","Use monorepo for tightly connected projects with shared code or frequent joint changes. Use polyrepo for independent projects or separate teams and access control.";
"How do AI coding agents change the monorepo vs. polyrepo decision?","Monorepos are easier for agents because related code is visible at once. Polyrepos need more setup and context management.";
"Monorepo","One repository contains multiple parts of a project such as frontend and backend.";
"Polyrepo","A project is split across multiple repositories such as one repo for frontend and one for backend.";
"What types of LB exists?","Hardware, software, and cloud-based load balancers. Software load balancing can happen at L2/L3, L4, L7, DNS level, or with Anycast.";
"Which one to pick?","It depends on control and use case. Hardware fits owned datacenters, cloud is pay-per-use, and software includes Traefik, Caddy, Nginx, HAProxy, MetalLB, DNS, and Anycast.";
